Glen Echo,glec,Park,MD,38.96912315,-77.14012206
Gloria Dei Church,glde,National Historic Site,PA,39.93435005,-75.14398924
Golden Gate,goga,National Recreation Area,CA,37.85982543,-122.6007386
Golden Spike,gosp,National Historical Park,UT,41.61947508,-112.5242653
Governors Island,gois,National Monument,NY,40.69164233,-74.01670765
Grand Canyon,grca,National Park,AZ,36.0001165336,-112.121516363
Grand Canyon-Parashant,para,National Monument,AZ,36.41535465,-113.6682797
Grand Portage,grpo,National Monument,MN,47.99294217,-89.75573031
Grand Teton,grte,National Park,WY,43.81853565,-110.7054666
Grant-Kohrs Ranch,grko,National Historic Site,MT,46.41358923,-112.7467024
Great Basin,grba,National Park,NV,38.94617378,-114.2579782
Great Egg Harbor River,greg,,NJ,39.3042,-74.6497
Great Falls,grfa,Park,VA,38.98776107,-77.25128326
Great Sand Dunes,grsa,National Park & Preserve,CO,37.79256812,-105.5919572
Great Smoky Mountains,grsm,National Park,"NC,TN",35.60116374,-83.50818326
Green Springs,grsp,,VA,38.037099,-78.189823
Greenbelt,gree,Park,MD,38.98328267,-76.89722133
Guadalupe Mountains,gumo,National Park,TX,31.92304462,-104.885527
Guilford Courthouse,guco,National Military Park,NC,36.13225478,-79.8424561
Gulf Islands,guis,National Seashore,"FL,MS",30.3211,-87.2304
Hagerman Fossil Beds,hafo,National Monument,ID,42.79074114,-114.9443074
Haleakalā,hale,National Park,HI,20.70693015,-156.1591775
Hamilton Grange,hagr,National Memorial,NY,40.81871605,-73.94878487
Hampton,hamp,National Historic Site,MD,39.4175296,-76.58781182
Harmony Hall,haha,,MD,38.74646351,-77.00377069
Harpers Ferry,hafe,National Historical Park,"WV,VA,MD",39.31865949,-77.74088546
Harriet Tubman,hart,National Historical Park,NY,42.9128920287,-76.5646715462
Harriet Tubman Underground Railroad,hatu,National Historical Park,MD,38.4548643511,-76.1373451376
Harry S Truman,hstr,National Historic Site,MO,38.92711967,-94.5162488
Hawaiʻi Volcanoes,havo,National Park,HI,19.3355036,-155.4700257
Herbert Hoover,heho,National Historic Site,IA,41.66793558,-91.35232139
Historic Jamestowne,jame,Part of Colonial National Historical Park,VA,37.2065,-76.7538
